Core: hps_sdram_p0 - Instance: u0|hps_0|hps_io|border|hps_sdram_inst
Path, Setup Margin, Hold Margin
"Address Command (Slow 1100mV 85C Model)",1.052,0.997
"Bus Turnaround Time (Slow 1100mV 85C Model)",3.333,--
"Core (Slow 1100mV 85C Model)",1.76,0.143
"Core Recovery/Removal (Slow 1100mV 85C Model)",3.405,0.47
"DQS vs CK (Slow 1100mV 85C Model)",0.763,0.44
"Postamble (Slow 1100mV 85C Model)",0.495,0.495
"Read Capture (Slow 1100mV 85C Model)",0.138,0.091
"Write (Slow 1100mV 85C Model)",0.242,0.242
"Address Command (Slow 1100mV 0C Model)",1.072,0.986
"Bus Turnaround Time (Slow 1100mV 0C Model)",3.36,--
"Core (Slow 1100mV 0C Model)",1.757,0.162
"Core Recovery/Removal (Slow 1100mV 0C Model)",3.498,0.46
"DQS vs CK (Slow 1100mV 0C Model)",0.769,0.479
"Postamble (Slow 1100mV 0C Model)",0.486,0.486
"Read Capture (Slow 1100mV 0C Model)",0.155,0.107
"Write (Slow 1100mV 0C Model)",0.254,0.254
"Address Command (Fast 1100mV 85C Model)",1.184,0.931
"Bus Turnaround Time (Fast 1100mV 85C Model)",3.469,--
"Core (Fast 1100mV 85C Model)",2.14,0.084
"Core Recovery/Removal (Fast 1100mV 85C Model)",3.757,0.497
"DQS vs CK (Fast 1100mV 85C Model)",0.826,0.576
"Postamble (Fast 1100mV 85C Model)",0.58,0.58
"Read Capture (Fast 1100mV 85C Model)",0.275,0.228
"Write (Fast 1100mV 85C Model)",0.312,0.312
"Address Command (Fast 1100mV 0C Model)",1.206,0.953
"Bus Turnaround Time (Fast 1100mV 0C Model)",3.482,--
"Core (Fast 1100mV 0C Model)",2.14,0.077
"Core Recovery/Removal (Fast 1100mV 0C Model)",3.855,0.473
"DQS vs CK (Fast 1100mV 0C Model)",0.823,0.604
"Postamble (Fast 1100mV 0C Model)",0.584,0.584
"Read Capture (Fast 1100mV 0C Model)",0.276,0.229
"Write (Fast 1100mV 0C Model)",0.326,0.326
